,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,province,region
16747,1050,APARTMENT,APARTMENT,1839000,3,201,1,0,0,1,None,0,None,0.0,0,0,AS_NEW,Bruxelles,Bruxelles-capitale
16748,8880,HOUSE,HOUSE,280000,3,210,1,0,0,1,24.0,1,100.0,210.0,2,0,JUST_RENOVATED,Flandre-Occidentale,Region Flamande
16749,8400,APARTMENT,APARTMENT,199000,2,105,1,0,0,1,None,0,None,0.0,0,0,GOOD,Flandre-Occidentale,Region Flamande
16750,9050,HOUSE,HOUSE,329000,4,161,0,0,0,0,None,1,118.0,273.0,3,0,TO_RENOVATE,Flandre-Orientale,Region Flamande
16751,8200,APARTMENT,APARTMENT,280000,2,140,1,0,0,0,None,1,None,0.0,0,0,TO_BE_DONE_UP,Flandre-Occidentale,Region Flamande
16752,7864,HOUSE,VILLA,475000,5,240,1,0,1,1,210.0,1,1000.0,1442.0,4,0,AS_NEW,Hainaut,Region Wallonne
16753,6791,HOUSE,HOUSE,285000,3,130,0,0,0,1,25.0,0,None,470.0,0,0,any_information,Luxembourg,Region Wallonne
16754,8300,APARTMENT,APARTMENT,995000,3,95,1,1,0,1,None,0,None,0.0,2,0,AS_NEW,Flandre-Occidentale,Region Flamande
16755,7800,HOUSE,OTHER_PROPERTY,265000,4,272,1,0,0,1,None,0,None,283.0,2,0,TO_BE_DONE_UP,Hainaut,Region Wallonne
16756,1030,APARTMENT,APARTMENT,1085000,6,450,1,0,0,0,None,1,220.0,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
16757,1932,HOUSE,HOUSE,600000,5,347,1,0,0,0,None,1,207.0,480.0,2,0,AS_NEW,Brabant_Flamand,Region Flamande
16758,1050,APARTMENT,APARTMENT,435000,2,95,1,0,0,1,6.0,0,None,0.0,2,0,AS_NEW,Bruxelles,Bruxelles-capitale
16759,9120,HOUSE,HOUSE,195000,2,85,1,0,0,1,50.0,0,None,104.0,3,0,GOOD,Flandre-Orientale,Region Flamande
16760,1050,APARTMENT,FLAT_STUDIO,215000,0,40,1,0,0,1,2.0,0,None,0.0,2,0,GOOD,Bruxelles,Bruxelles-capitale
16762,1300,APARTMENT,GROUND_FLOOR,465000,3,146,0,0,0,1,20.0,1,180.0,0.0,0,0,AS_NEW,,Region Wallonne
16763,1050,APARTMENT,APARTMENT,304000,1,66,1,0,0,1,10.0,0,None,0.0,0,0,AS_NEW,Bruxelles,Bruxelles-capitale
16764,8450,APARTMENT,APARTMENT,239000,3,100,1,0,0,0,None,0,None,0.0,0,0,AS_NEW,Flandre-Occidentale,Region Flamande
16765,2018,HOUSE,HOUSE,1450000,4,375,1,0,0,1,20.0,1,35.0,156.0,2,0,AS_NEW,Anvers,Region Flamande
16766,1070,APARTMENT,FLAT_STUDIO,110000,0,35,1,0,0,0,None,0,None,0.0,2,0,GOOD,Bruxelles,Bruxelles-capitale
16767,2100,HOUSE,MANSION,293000,2,193,1,0,0,1,None,0,None,264.0,2,0,any_information,Anvers,Region Flamande
