,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
83,8300,1,APARTMENT,1325000,3,115,1,0,0,1,15.0,0,None,0,2,0,AS_NEW
84,1180,1,APARTMENT,575000,3,180,1,0,0,0,None,0,None,0,2,0,TO_RENOVATE
85,1080,1,APARTMENT,249000,2,101,1,0,0,1,11.0,0,None,0,2,0,AS_NEW
86,1040,1,APARTMENT,365000,2,90,1,0,0,1,6.0,0,None,0,2,0,AS_NEW
87,7904,0,HOUSE,398000,3,244,1,0,0,1,12.0,1,None,4631,4,0,unknown
88,1050,1,APARTMENT,650000,2,172,1,0,0,1,None,0,None,0,2,0,TO_BE_DONE_UP
89,9900,1,GROUND_FLOOR,207000,2,90,1,0,0,1,46.0,1,45.0,0,4,0,AS_NEW
90,1180,1,PENTHOUSE,585000,2,122,1,0,0,1,75.0,0,None,0,4,0,unknown
91,1180,1,PENTHOUSE,1100000,4,297,1,0,0,1,45.0,0,None,0,3,1,GOOD
92,8500,0,HOUSE,230000,3,127,1,0,0,1,20.0,0,None,120,4,0,AS_NEW
93,7012,0,MIXED_USE_BUILDING,205000,4,220,1,0,1,1,32.0,1,147.0,300,3,0,unknown
94,3090,0,HOUSE,460000,3,140,1,0,0,1,None,0,None,4117,4,0,GOOD
95,1150,0,HOUSE,1350000,5,220,0,0,0,1,16.0,1,145.0,324,3,0,AS_NEW
96,8530,0,HOUSE,337135,3,173,0,0,0,0,None,0,None,487,4,0,AS_NEW
97,8800,0,HOUSE,130000,2,108,1,0,0,0,None,0,None,117,0,0,TO_RENOVATE
98,3040,0,HOUSE,525000,3,233,0,0,0,0,None,0,None,4166,4,0,unknown
99,5542,0,HOUSE,133000,1,62,1,0,0,0,None,1,None,0,3,0,GOOD
100,7300,0,HOUSE,140000,2,91,1,0,0,1,None,0,None,690,4,0,GOOD
101,1970,0,HOUSE,550000,3,215,1,0,0,1,38.0,1,100.0,340,3,0,TO_BE_DONE_UP
102,1180,0,HOUSE,3850000,5,510,0,0,1,0,None,1,700.0,1025,3,0,TO_RENOVATE
103,6730,0,HOUSE,269000,4,150,1,0,0,0,None,0,None,713,4,0,unknown
104,8531,0,HOUSE,175000,5,186,0,0,0,0,None,0,None,0,0,0,TO_BE_DONE_UP
105,2850,1,APARTMENT,220000,2,136,0,0,0,1,None,0,None,0,2,0,unknown
106,1380,0,FARMHOUSE,3200000,7,450,1,0,0,0,None,0,None,35000,4,1,GOOD
107,3200,0,EXCEPTIONAL_PROPERTY,550000,4,240,1,0,1,0,None,1,None,10074,4,0,TO_BE_DONE_UP
108,2000,1,PENTHOUSE,945000,3,240,1,0,0,1,36.0,0,None,0,3,0,AS_NEW
109,8740,1,APARTMENT,349000,3,130,1,0,0,1,15.0,0,None,0,0,0,AS_NEW
110,6870,0,MIXED_USE_BUILDING,89000,3,180,0,0,0,0,None,0,None,96,2,0,TO_RENOVATE
111,7110,0,HOUSE,120000,3,106,1,0,0,1,None,0,None,158,2,0,TO_RENOVATE
112,9500,0,VILLA,849000,2,233,1,0,0,1,None,1,None,13342,4,1,unknown
113,1140,1,APARTMENT,175000,1,50,1,0,0,0,None,0,None,0,2,0,AS_NEW
114,8800,1,APARTMENT,240000,1,71,1,0,0,1,18.0,0,None,0,2,0,AS_NEW
115,1180,1,DUPLEX,335000,3,120,0,0,0,1,2.0,0,None,0,2,0,unknown
116,1070,0,MIXED_USE_BUILDING,595000,3,304,1,0,0,1,40.0,0,None,71,2,0,AS_NEW
117,4101,0,HOUSE,135000,2,82,1,0,0,1,16.0,0,None,61,2,0,GOOD
118,3700,0,HOUSE,175000,5,140,1,0,0,1,32.0,1,413.0,802,2,0,GOOD
119,9690,0,HOUSE,281461,3,160,1,0,0,0,None,1,None,510,4,0,AS_NEW
120,4570,0,HOUSE,220000,3,142,0,0,0,1,None,1,40.0,110,2,0,unknown
121,1000,1,APARTMENT,225000,1,65,1,0,0,0,None,0,None,0,2,0,GOOD
122,8860,0,HOUSE,249000,2,150,1,0,0,1,None,1,36000.0,49800,0,0,AS_NEW
123,6060,1,APARTMENT,149000,2,78,1,0,0,1,None,0,None,0,3,0,GOOD
124,5030,0,HOUSE,325000,3,164,0,1,0,1,None,1,350.0,650,3,0,GOOD
125,3620,1,APARTMENT,242141,2,81,0,0,0,1,11.0,0,None,0,0,0,unknown
126,1330,0,HOUSE,435000,3,114,1,0,0,1,25.0,1,394.0,394,3,0,JUST_RENOVATED
127,7134,1,APARTMENT,175000,2,90,1,0,0,1,5.0,0,None,0,3,0,unknown
128,8400,1,FLAT_STUDIO,168000,1,46,1,0,0,0,None,0,None,0,0,0,unknown
129,1180,1,APARTMENT,249000,1,61,1,0,0,1,3.0,0,None,0,3,0,GOOD
130,8500,1,APARTMENT,135000,2,100,0,0,0,0,None,0,None,0,0,0,AS_NEW
131,2560,0,HOUSE,335000,3,214,1,0,0,1,11.0,1,100.0,192,3,0,unknown
132,4500,0,HOUSE,349000,4,198,1,0,0,0,None,1,None,518,3,0,GOOD
133,4180,0,MIXED_USE_BUILDING,229000,4,312,0,0,0,1,20.0,0,None,9732,4,0,TO_RENOVATE
134,1090,1,APARTMENT,129000,1,54,0,0,0,0,None,0,None,0,2,0,TO_RENOVATE
135,8620,1,APARTMENT,345000,2,80,0,1,0,1,None,1,None,0,0,0,AS_NEW
136,2660,0,HOUSE,235000,1,165,1,0,0,1,7.0,0,None,88,2,0,GOOD
137,7000,0,VILLA,420000,4,190,1,0,0,1,25.0,0,None,1182,4,0,AS_NEW
138,9000,1,APARTMENT,385000,2,101,1,0,0,1,3.0,0,None,0,0,0,JUST_RENOVATED
139,1180,1,APARTMENT,395000,3,120,0,0,0,1,4.0,0,None,0,3,0,TO_RENOVATE
140,1180,0,VILLA,2990000,5,500,1,0,0,1,None,0,None,2500,4,0,AS_NEW
141,1200,1,APARTMENT,325000,1,60,1,0,0,1,5.0,0,None,0,2,0,unknown
142,8420,1,PENTHOUSE,575000,3,350,1,0,0,1,20.0,0,None,0,4,0,GOOD
143,9620,1,APARTMENT,225000,2,96,1,0,0,1,None,0,None,0,2,0,GOOD
144,1030,1,APARTMENT,320000,3,110,1,0,0,1,10.0,0,None,0,2,0,AS_NEW
145,8793,0,APARTMENT_BLOCK,535000,2,321,0,0,0,1,122.0,0,None,321,0,0,unknown
146,8434,1,APARTMENT,255000,2,87,0,0,0,1,None,1,None,0,0,0,AS_NEW
147,4470,0,HOUSE,235000,3,145,1,0,0,0,None,1,100.0,368,4,0,AS_NEW
148,2070,1,APARTMENT,130000,2,112,0,0,0,0,None,0,None,0,2,0,GOOD
149,8434,1,APARTMENT,209000,1,67,1,0,0,1,10.0,0,None,0,2,0,unknown
150,8900,1,APARTMENT,279000,2,96,0,0,0,1,None,0,None,0,0,0,unknown
151,9900,1,GROUND_FLOOR,211500,2,81,1,0,0,1,11.0,1,None,0,4,0,AS_NEW
152,9900,1,SERVICE_FLAT,202500,1,74,1,0,0,1,10.0,0,None,0,4,0,AS_NEW
153,1770,0,HOUSE,269000,3,176,1,0,0,1,78.0,1,78.0,110,2,0,AS_NEW
154,8000,0,HOUSE,189000,2,104,0,0,0,1,10.0,0,None,68,2,0,TO_RENOVATE
155,3600,0,HOUSE,135000,3,224,1,0,0,1,None,0,None,945,4,0,unknown
156,1420,0,HOUSE,415000,3,150,1,0,0,1,15.0,0,None,166,2,0,GOOD
157,9000,0,HOUSE,439000,7,192,1,0,0,0,None,1,17.0,73,0,0,GOOD
158,5310,0,HOUSE,275000,3,125,1,0,0,0,None,1,1495.0,1495,4,0,TO_BE_DONE_UP
159,1040,1,APARTMENT,235000,1,65,1,0,0,1,None,0,None,0,0,0,GOOD
160,1180,1,APARTMENT,320500,2,96,1,0,0,1,6.0,0,None,0,2,0,AS_NEW
161,1341,1,PENTHOUSE,690000,3,183,0,0,0,1,45.0,0,None,0,4,0,AS_NEW
162,7640,0,COUNTRY_COTTAGE,399000,7,308,1,0,0,0,None,1,None,2880,4,0,TO_RENOVATE
163,4460,0,HOUSE,179000,5,125,1,0,0,0,None,1,98.0,160,2,0,GOOD
164,9870,0,HOUSE,229500,3,115,1,0,0,0,None,1,None,185,2,0,unknown
165,9320,0,HOUSE,219000,3,170,0,0,0,0,None,0,None,401,0,0,unknown
166,1160,1,PENTHOUSE,799000,3,164,1,0,0,1,20.0,0,None,0,0,0,AS_NEW
167,1050,0,HOUSE,550000,7,150,1,0,0,0,None,0,None,52,2,0,TO_BE_DONE_UP
168,4100,1,APARTMENT,316000,2,102,1,0,0,1,8.0,0,None,0,0,0,unknown
169,4690,0,HOUSE,235000,4,230,0,0,0,0,None,1,None,930,3,0,GOOD
170,4140,0,VILLA,190000,3,177,0,0,0,1,None,0,None,3425,4,0,unknown
171,8970,1,APARTMENT,365000,3,104,1,0,0,1,None,0,None,0,3,0,AS_NEW
172,1050,1,APARTMENT,280000,1,60,0,0,0,0,None,0,None,0,2,0,unknown
173,8620,1,APARTMENT,685000,2,90,1,1,0,1,20.0,0,None,0,2,0,AS_NEW
174,1000,1,GROUND_FLOOR,925000,2,142,1,0,0,1,None,1,50.0,0,0,0,AS_NEW
175,1421,0,HOUSE,295000,3,167,1,0,0,1,40.0,0,None,217,3,0,AS_NEW
176,8300,1,APARTMENT,650000,2,92,1,0,0,1,None,0,None,0,2,0,GOOD
177,1421,0,VILLA,875000,6,302,1,0,0,1,None,1,2500.0,3596,4,0,TO_BE_DONE_UP
178,2000,1,DUPLEX,470000,2,128,1,0,1,1,13.0,0,None,0,2,0,AS_NEW
179,1150,1,GROUND_FLOOR,695000,2,140,1,0,0,1,2.0,1,100.0,0,3,0,AS_NEW
180,8670,0,HOUSE,475000,3,169,1,0,0,1,20.0,1,700.0,873,0,0,unknown
181,1740,0,HOUSE,370000,3,171,1,0,0,0,None,1,None,0,0,0,JUST_RENOVATED
182,8430,1,GROUND_FLOOR,220000,1,46,0,0,0,0,None,0,None,0,3,0,unknown
183,8970,0,HOUSE,269000,4,400,1,1,1,0,None,0,None,342,0,0,AS_NEW
184,1050,1,DUPLEX,595000,3,135,1,0,0,0,None,0,None,0,2,0,AS_NEW
185,2970,1,APARTMENT,765000,2,153,1,0,0,1,62.0,0,None,0,4,0,AS_NEW
186,1180,1,APARTMENT,1100000,4,200,1,1,0,1,30.0,0,None,0,3,0,AS_NEW
187,9420,0,HOUSE,209000,2,130,1,0,0,1,None,1,100.0,230,2,0,GOOD
188,8420,1,APARTMENT,79900,1,42,1,0,0,0,None,0,None,0,0,0,TO_BE_DONE_UP
189,7300,0,HOUSE,140000,3,156,1,0,0,0,None,0,None,140,4,0,GOOD
190,7531,0,HOUSE,550000,5,190,1,0,0,1,None,0,None,5280,4,0,TO_BE_DONE_UP
191,3080,0,EXCEPTIONAL_PROPERTY,4950000,6,728,1,0,0,1,100.0,1,20066.0,20066,4,1,GOOD
192,7110,0,HOUSE,125000,2,91,1,0,0,1,None,0,None,140,3,0,TO_BE_DONE_UP
193,1180,0,VILLA,3650000,6,766,1,0,0,1,60.0,1,1300.0,1500,0,1,AS_NEW
194,9290,1,APARTMENT,240000,2,70,1,0,0,0,None,0,None,0,2,0,GOOD
195,1560,0,EXCEPTIONAL_PROPERTY,989000,4,400,1,0,0,1,88.0,1,1000.0,1408,4,0,AS_NEW
196,1180,0,HOUSE,890000,4,216,0,0,1,0,None,0,None,252,3,0,GOOD
197,8930,1,APARTMENT,195600,2,83,1,0,0,1,9.0,1,12.0,0,2,0,GOOD
