,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition
8066,3140,HOUSE,EXCEPTIONAL_PROPERTY,2249000,4,432,1,0,0,1,,0,,5500,4,1,AS_NEW
8068,8750,HOUSE,HOUSE,195000,4,97,1,0,0,1,,1,235,32500,,0,TO_BE_DONE_UP
8070,9820,APARTMENT,APARTMENT,287560,2,89,0,0,0,1,10,0,,,,0,
8072,3080,HOUSE,HOUSE,375000,2,150,0,0,0,0,,0,,167,2,0,TO_RENOVATE
8074,8300,APARTMENT,APARTMENT,535000,2,84,0,0,0,1,7,0,,,,0,
8076,3200,HOUSE,HOUSE,349000,3,180,1,0,0,1,24,1,74,230,2,0,GOOD
8078,3200,APARTMENT,APARTMENT,269000,3,94,1,0,0,0,,0,,,3,0,GOOD
8080,2600,APARTMENT,PENTHOUSE,685000,3,240,0,0,0,1,,0,,,2,0,AS_NEW
8082,1030,APARTMENT,FLAT_STUDIO,149000,0,32,0,1,0,1,,0,,,,0,
8084,3700,APARTMENT,APARTMENT,185000,2,80,1,0,0,0,,0,,,,0,
8086,8400,HOUSE,EXCEPTIONAL_PROPERTY,1495000,4,638,0,0,0,1,20,1,50,237,,1,
8088,8300,APARTMENT,APARTMENT,3195000,4,225,0,0,0,1,,0,,,,0,
8090,4500,HOUSE,HOUSE,319000,5,260,1,0,0,0,,1,420,843,,0,TO_BE_DONE_UP
8092,8830,APARTMENT,APARTMENT,299500,2,99,1,0,0,1,,0,,,,0,
8094,6221,HOUSE,HOUSE,175000,2,106,1,0,1,1,,0,,627,3,0,TO_RENOVATE
8096,3000,APARTMENT,APARTMENT,395000,3,101,1,1,0,1,,0,,,,0,GOOD
8098,1030,APARTMENT,GROUND_FLOOR,225000,2,78,1,0,0,1,13,0,,,3,0,GOOD
8100,9040,HOUSE,APARTMENT_BLOCK,599000,4,320,1,0,0,1,12,1,60,181,3,0,GOOD
8102,4870,HOUSE,HOUSE,89000,1,34,1,0,0,0,,0,,0,2,0,TO_BE_DONE_UP
8104,8420,APARTMENT,APARTMENT,335000,3,95,1,0,0,1,,0,,,,0,AS_NEW
8106,1200,APARTMENT,APARTMENT,235000,1,39,1,1,0,1,,0,,,,0,GOOD
8108,8790,APARTMENT,APARTMENT,285000,2,85,1,0,0,1,30,1,,,2,0,GOOD
8110,1410,APARTMENT,DUPLEX,395000,3,140,1,0,1,1,13,0,,,3,0,TO_BE_DONE_UP
8112,1030,APARTMENT,FLAT_STUDIO,105000,0,40,0,0,0,0,,0,,,,0,TO_RENOVATE
8114,4040,APARTMENT,GROUND_FLOOR,40000,2,,0,0,0,1,,0,,,,0,
8116,8000,HOUSE,HOUSE,299000,3,112,1,0,0,1,8,0,,95,,0,GOOD
8118,9500,APARTMENT,APARTMENT,169000,2,66,1,0,0,1,9,0,,,2,0,GOOD
8120,8810,HOUSE,HOUSE,450000,2,,1,0,0,0,,0,,1815,,0,AS_NEW
8122,9000,APARTMENT,APARTMENT,448000,3,140,1,0,0,1,15,0,,,,0,AS_NEW
8124,9280,HOUSE,HOUSE,225000,3,190,1,0,0,0,,0,,426,,0,TO_BE_DONE_UP
8126,1410,HOUSE,HOUSE,1180000,5,300,1,0,0,1,,1,1800,2000,4,0,TO_BE_DONE_UP
8128,9052,APARTMENT,APARTMENT,470000,3,115,1,0,0,1,22,1,,,,0,
8130,7170,HOUSE,HOUSE,319000,3,137,1,0,0,0,,1,746,828,3,0,AS_NEW
8132,9820,HOUSE,HOUSE,474956,3,,1,0,0,0,,0,,675,3,0,AS_NEW
8134,2880,HOUSE,HOUSE,645000,5,210,1,0,0,0,,0,,1361,,0,
8136,1970,HOUSE,VILLA,810000,3,180,0,0,0,0,,1,2800,2981,4,0,TO_RENOVATE
8138,8860,HOUSE,MIXED_USE_BUILDING,480000,5,406,0,0,0,0,,0,,812,,0,AS_NEW
8140,2990,APARTMENT,APARTMENT,265000,2,100,1,0,0,1,6,0,,,2,0,JUST_RENOVATED
8142,5600,HOUSE,HOUSE,115000,1,126,1,0,0,0,,0,,40,2,0,
8144,4141,HOUSE,HOUSE,385000,4,230,1,0,0,1,,1,,2710,4,0,
8146,1200,APARTMENT,APARTMENT,345000,2,92,1,0,0,1,9,0,,,2,0,GOOD
8148,8790,APARTMENT,APARTMENT,249375,2,99,0,0,0,1,11,1,,,,0,
8150,1420,APARTMENT,GROUND_FLOOR,437175,2,150,1,0,0,1,29,0,,,,0,GOOD
8152,7390,HOUSE,HOUSE,160000,2,140,1,0,0,1,27,1,250,335,2,0,GOOD
8154,9300,APARTMENT,APARTMENT,229500,2,80,0,0,0,1,18,1,,,,0,
